ID,name,description,supplier_ID,price,currency_code
1,"Laptop Pro","High-performance laptop with 16GB RAM",1,999.99,USD
2,"Wireless Mouse","Ergonomic wireless mouse with long battery life",2,29.99,USD
3,"Smartphone X","Latest smartphone with 128GB storage",1,799.50,USD
4,"Bluetooth Headphones","Noise-cancelling over-ear headphones",3,149.75,USD
5,"LED Monitor","27-inch 4K LED monitor",2,349.00,USD
6,"USB-C Hub","Multi-port USB-C hub for connectivity",4,59.99,USD
7,"Gaming Keyboard","RGB mechanical gaming keyboard",3,89.90,USD
8,"Portable SSD","1TB portable solid-state drive",1,129.99,USD
9,"Smartwatch","Fitness tracker with heart rate monitor",5,199.95,USD
10,"Wireless Charger","Fast wireless charging pad",4,39.99,USD
11,"Desktop PC","High-end desktop with 32GB RAM",1,1499.00,USD
12,"Webcam","1080p webcam with built-in microphone",2,69.50,USD
13,"External Hard Drive","2TB external hard drive",3,89.99,USD
14,"Graphics Tablet","Pen-based graphics tablet for designers",5,249.00,USD
15,"Wireless Earbuds","True wireless earbuds with noise cancellation",4,119.99,USD
16,"Printer","All-in-one color inkjet printer",2,179.99,USD
17,"Router","Dual-band Wi-Fi 6 router",1,129.50,USD
18,"Smart Speaker","Voice-activated smart speaker",3,99.99,USD
19,"Tablet","10-inch tablet with 64GB storage",5,299.00,USD
20,"Gaming Mouse","High-precision gaming mouse with RGB",4,49.99,USD
